Total gates, 185777
,9,25,49,100,200,300,500,1000,2000,3000
4,92521,92747,93108,92916,92353,92717,93142,92698,92941,92803
9,,93623,92500,93366,93135,92823,92774,92118,92461,92831
25,,,92906,93142,92963,92585,93066,92988,93021,93079
49,,,,92955,92458,92816,92833,92855,92900,92890
100,,,,,92794,92798,92763,92551,92704,93156
200,,,,,,93143,92458,92926,93047,92641
300,,,,,,,93052,92994,93207,93017
500,,,,,,,,92775,92832,93104
1000,,,,,,,,,92634,92700
2000,,,,,,,,,,92959

Total gates, 185777
,9,25,49,100,200,300,500,1000,2000,3000
4,50.1978178138,50.0761665868,50.1181524085,50.0148026936,50.2882488144,50.0923149798,50.1364539206,50.1025422953,50.0282596877,50.04602292
9,,50.3953664878,50.2091216889,50.257028588,50.1326859622,50.0352573246,50.0616330332,50.4147445593,50.2301145998,50.0309510865
25,,,50.0094198959,50.1364539206,50.0401018425,50.1633679088,50.0955446584,50.0535588367,50.0713220689,50.1025422953
49,,,,50.0357956044,50.2317294391,50.039025283,50.029874527,50.0180323721,50.0061902173,50.0008074196
100,,,,,50.0508674378,50.0487143188,50.0675541106,50.1816694209,50.0993126167,50.1439898373
200,,,,,,50.1369922003,50.2317294391,50.0201854912,50.0853173428,50.133224242
300,,,,,,,50.0880087417,50.0567885153,50.1714421053,50.0691689499
500,,,,,,,,50.0610947534,50.0304128068,50.1159992895
1000,,,,,,,,,50.1369922003,50.1014657358
2000,,,,,,,,,,50.0379487235
